               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096198,            0.046113,                   0,           0.0030179,             0.36364,            0.016116,           0.0025533,            0.065364,            0.021569,                   0,            0.070714,            0.003254,            0.003254
                   1,            0.067309,            0.024451,                   0,            0.079028,             0.59091,             0.20697,            0.062991,             0.05274,            0.013989,                   0,            0.040062,           0.0059352,           0.0059352
                   2,            0.059646,            0.019393,                   0,             0.19346,             0.59091,             0.52467,             0.20807,            0.050537,            0.010862,                   0,             0.00875,           0.0079563,           0.0079563
                   3,            0.051361,            0.017842,                   0,             0.95897,             0.63636,             0.78635,             0.32488,            0.042841,           0.0079334,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.048077,            0.016651,                   0,             0.75751,             0.59091,             0.67723,              0.2576,            0.039708,            0.007435,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.042344,            0.013425,                   0,             0.82156,             0.72727,             0.77206,             0.41103,            0.035604,           0.0064793,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.037834,            0.013404,                   0,             0.66349,             0.90909,             0.68391,             0.35106,            0.033152,           0.0056605,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.035247,            0.010319,                   0,             0.95129,             0.88823,              0.9375,             0.54843,            0.030297,           0.0049475,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.032929,            0.010744,                   0,             0.84938,             0.76915,             0.81971,             0.48049,            0.027781,           0.0047292,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.030789,             0.01042,                   0,              0.9497,             0.86364,             0.94613,              0.5476,             0.02525,           0.0045981,                   0,             0.00208,             0.00208,             0.00208
